Fecha,Laborable,Sabado,Feriados,Linea
2017-01-01,"245,869","188,951","83,003",Linea 1
2017-02-01,"251,789","167,757","85,607",Linea 1
2017-03-01,"253,829","196,018","89,808",Linea 1
2017-04-01,"259,206","185,573","85,368",Linea 1
2017-05-01,"264,889","199,347","89,357",Linea 1
2017-06-01,"260,283","204,581","90,130",Linea 1
2017-07-01,"256,054","203,833","95,652",Linea 1
2017-08-01,"261,154","200,959","90,264",Linea 1
2017-09-01,"265,410","208,671","97,683",Linea 1
2017-10-01,"271,072","213,240","100,615",Linea 1
2017-11-01,"268,708","172,915","90,463",Linea 1
2017-12-01,"282,191","225,191","109,891",Linea 1
2017-01-01,"251,595","194,234","82,150",Linea 2
2017-02-01,"260,374","169,070","83,443",Linea 2
2017-03-01,,,,Linea 2
2017-04-01,,,,Linea 2
2017-05-01,,,,Linea 2
2017-06-01,,,,Linea 2
2017-07-01,,,,Linea 2
2017-08-01,,,,Linea 2
2017-09-01,,,,Linea 2
2017-10-01,,,,Linea 2
2017-11-01,,,,Linea 2
2017-12-01,,,,Linea 2
2018-01-01,251594.57142857142,194233.5,82149.66666666667,Linea 1
2018-02-01,260373.82352941178,169070.0,83442.6,Linea 1
2018-03-01,277486.71428571426,222282.5,91326.0,Linea 1
2018-04-01,279776.4761904762,217594.25,95591.0,Linea 1
2018-05-01,274325.3181818182,197867.25,92048.6,Linea 1
2018-06-01,274944.71428571426,220230.0,91270.5,Linea 1
2018-07-01,275101.0909090909,222101.5,99670.0,Linea 1
2018-08-01,281304.8695652174,219871.0,99339.5,Linea 1
2018-09-01,279478.95,226506.4,106947.4,Linea 1
2018-10-01,292999.47826086957,230846.75,102342.5,Linea 1
2018-11-01,297573.35,185714.75,105064.5,Linea 1
2018-12-01,291329.5,258190.75,127701.14285714286,Linea 1
2019-01-01,"289,015","206,170","74,167",Linea 1
2019-02-01,"277,373","196,466","96,085",Linea 1
2019-03-01,"287,074","201,563","96,970",Linea 1
2019-04-01,"300,678","287,122","95,964",Linea 1
2019-05-01,"364,789","287,122","151,369",Linea 1
2019-06-01,"344,321","289,491","144,088",Linea 1
2019-07-01,"338,400","272,836","133,622",Linea 1
2019-08-01,"332,211","272,064","139,337",Linea 1
2019-09-01,"323,043","262,389","123,989",Linea 1
2019-10-01,"311,597","236,969","107,176",Linea 1
2019-11-01,"314,026","235,151","109,614",Linea 1
2019-12-01,"301,764","249,477","131,199",Linea 1
2019-01-01,,,,Linea 2
2019-02-01,,,,Linea 2
2019-03-01,,,,Linea 2
2019-04-01,"145,204","149,706","101,143",Linea 2
2019-05-01,"180,659","173,414","107,928",Linea 2
2019-06-01,"148,758","142,000","79,432",Linea 2
2019-07-01,"142,022","128,680","69,217",Linea 2
2019-08-01,"140,149","130,942","72,643",Linea 2
2019-09-01,"142,536","130,904","67,845",Linea 2
2019-10-01,"139,218","118,934","57,463",Linea 2
2019-11-01,"143,001","121,179","58,921",Linea 2
2019-12-01,"144,876","133,210","71,485",Linea 2
2021-01-01,"96,034",0,0,Linea 1
2021-02-01,"152,759",0,"55,004",Linea 1
2021-03-01,"161,320","125,263","58,893",Linea 1
2021-04-01,"161,691","119,759","57,263",Linea 1
2021-05-01,"159,823","133,642","71,095",Linea 1
2021-06-01,"160,534","127,080","59,483",Linea 1
2021-07-01,"162,477","130,906","56,753",Linea 1
2021-08-01,"168,251","143,388","66,250",Linea 1
2021-09-01,"173,303","137,604","65,564",Linea 1
2021-10-01,"181,450","148,188","73,795",Linea 1
2021-11-01,,,,Linea 1
2021-12-01,,,,Linea 1
2021-01-01,"54,702",0,0,Linea 2
2021-02-01,"86,383",0,"34,675",Linea 2
2021-03-01,"88,181","73,142","35,374",Linea 2
2021-04-01,"89,280","71,847","35,478",Linea 2
2021-05-01,"88,287","80,561","43,922",Linea 2
2021-06-01,"87,135","76,275","37,014",Linea 2
2021-07-01,"88,734","78,180","35,658",Linea 2
2021-08-01,"93,437","87,694","42,078",Linea 2
2021-09-01,"96,533","82,274","40,420",Linea 2
2021-10-01,"101,429","90,733","44,994",Linea 2
2021-11-01,,,,Linea 2
2021-12-01,,,,Linea 2
2021-01-01,"96,034",0,0,Linea 1
2021-02-01,"152,759",0,"55,004",Linea 1
2021-03-01,"161,320","125,263","58,893",Linea 1
2021-04-01,"161,691","119,759","57,263",Linea 1
2021-05-01,"159,823","133,642","71,095",Linea 1
2021-06-01,"160,534","127,080","59,483",Linea 1
2021-07-01,"162,477","130,906","56,753",Linea 1
2021-08-01,"168,251","143,388","66,250",Linea 1
2021-09-01,"173,303","137,604","65,564",Linea 1
2021-10-01,"181,450","148,188","73,795",Linea 1
2021-11-01,,,,Linea 1
2021-12-01,,,,Linea 1
2021-01-01,"54,702",0,0,Linea 2
2021-02-01,"86,383",0,"34,675",Linea 2
2021-03-01,"88,181","73,142","35,374",Linea 2
2021-04-01,"89,280","71,847","35,478",Linea 2
2021-05-01,"88,287","80,561","43,922",Linea 2
2021-06-01,"87,135","76,275","37,014",Linea 2
2021-07-01,"88,734","78,180","35,658",Linea 2
2021-08-01,"93,437","87,694","42,078",Linea 2
2021-09-01,"96,533","82,274","40,420",Linea 2
2021-10-01,"101,429","90,733","44,994",Linea 2
2021-11-01,,,,Linea 2
2021-12-01,,,,Linea 2
