;DATOS DE DEMANDA DE USUARIOS  ;;;;;;;;;;;
; ENERO A DICIEMBRE 2019;;;;;;;;;;;
;LINEA 1 METRO DE PANAMA S.A.;;;;;;;;;;;
TIPO DE DEMANDA;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Laborable;289,015;277,373;287,074;300,678;364,789;344,321;338,400;332,211;323,043;311,597;314,026;301,764
;;;;;;;;;;;;
Sabados;206,170;196,466;201,563;287,122;287,122;289,491;272,836;272,064;262,389;236,969;235,151;249,477
;;;;;;;;;;;;
Feriados;74,167;96,085;96,970;95,964;151,369;144,088;133,622;139,337;123,989;107,176;109,614;131,199
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;DATOS DE DEMANDA DE USUARIOS  ;;;;;;;;;;;
; ENERO A DICIEMBRE 2019;;;;;;;;;;;
;LINEA 2 METRO DE PANAMA S.A.;;;;;;;;;;;
TIPO DE DEMANDA;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Laborable;;;;145,204;180,659;148,758;142,022;140,149;142,536;139,218;143,001;144,876
;;;;;;;;;;;;
Sabados;;;;149,706;173,414;142,000;128,680;130,942;130,904;118,934;121,179;133,210
;;;;;;;;;;;;
Feriados;;;;101,143;107,928;79,432;69,217;72,643;67,845;57,463;58,921;71,485
