;;;;;;;;;;;;
;DATOS DE DEMANDA DE USUARIOS  ;;;;;;;;;;;
; ENERO A JULIO 2021;;;;;;;;;;;
;LÖNEA 1 METRO DE PANAMµ S.A.;;;;;;;;;;;
TIPO DE DEMANDA;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Laborable;96,034;152,759;161,320;161,691;159,823;160,534;162,477;168,251;173,303;181,450;;
;0;0;;0;0;0;;;;;;
S bados;0;0;125,263;119,759;133,642;127,080;130,906;143,388;137,604;148,188;;
;0;0;;0;0;0;0;0;0;0;0;0
Feriados;0;55,004;58,893;57,263;71,095;59,483;56,753;66,250;65,564;73,795;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;DATOS DE DEMANDA DE USUARIOS  ;;;;;;;;;;;
; ENERO A JULIO 2021;;;;;;;;;;;
;LÖNEA 2 METRO DE PANAMµ S.A.;;;;;;;;;;;
TIPO DE DEMANDA;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
Laborable;54,702;86,383;88,181;89,280;88,287;87,135;88,734;93,437;96,533;101,429;;
;;;;;;;;;;;;
S bados;0;0;73,142;71,847;80,561;76,275;78,180;87,694;82,274;90,733;;
;;;;;;;;;;;;
Feriados;0;34,675;35,374;35,478;43,922;37,014;35,658;42,078;40,420;44,994;;
;;;;;;;;;;;;
