Fecha,Laborable,Sabado,Feriados,Linea
2021-01-01,"96,034",0,0,Linea 1
2021-02-01,"152,759",0,"55,004",Linea 1
2021-03-01,"161,320","125,263","58,893",Linea 1
2021-04-01,"161,691","119,759","57,263",Linea 1
2021-05-01,"159,823","133,642","71,095",Linea 1
2021-06-01,"160,534","127,080","59,483",Linea 1
2021-07-01,"162,477","130,906","56,753",Linea 1
2021-08-01,"168,251","143,388","66,250",Linea 1
2021-09-01,"173,303","137,604","65,564",Linea 1
2021-10-01,"181,450","148,188","73,795",Linea 1
2021-11-01,,,,Linea 1
2021-12-01,,,,Linea 1
2021-01-01,"54,702",0,0,Linea 2
2021-02-01,"86,383",0,"34,675",Linea 2
2021-03-01,"88,181","73,142","35,374",Linea 2
2021-04-01,"89,280","71,847","35,478",Linea 2
2021-05-01,"88,287","80,561","43,922",Linea 2
2021-06-01,"87,135","76,275","37,014",Linea 2
2021-07-01,"88,734","78,180","35,658",Linea 2
2021-08-01,"93,437","87,694","42,078",Linea 2
2021-09-01,"96,533","82,274","40,420",Linea 2
2021-10-01,"101,429","90,733","44,994",Linea 2
2021-11-01,,,,Linea 2
2021-12-01,,,,Linea 2
