METRO DE PANAMA;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;
PRIMER TRIMESTRE 2019;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;;Ingreso Jubilados - Pensionados - 3ra Edad;;;Ingreso Discapacitados;;;Totales de Ingresos;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento
ENERO;7,236,972;2,532,940.20;0;0;0;112,941;39,529.35;27,105.84;632;221.2;151.68;7,350,545;2,572,690.75;2,560,197.72
FEBRERO;6,610,727;2,313,754.45;0;0;0;144,393;50,537.55;34,654.32;1,269;444.15;304.56;6,756,389;2,364,736.15;2,348,713.33
MARZO;6,913,042;2,419,564.70;52,571;18,399.85;8,937.07;158,465;55,462.75;38,031.60;1,507;527.45;361.68;7,125,585;2,493,954.75;2,466,895.05
INGRESO TOTAL;20,760,741;B/.7,266,259.35;52,571;B/.18,399.85;B/.8,937.07;415,799;B/.145,529.65;B/.99,791.76;3,408;B/.1,192.80;B/.817.92;21,232,519;7,431,381.65;7,375,806.10
;;;;;;;;;;;;;;
METRO DE PANAMA;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;
SEGUNDO TRIMESTRE 2019;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;;Ingreso Jubilados - Pensionados - 3ra Edad;;;Ingreso Discapacitados;;;Totales de Ingresos;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento
ABRIL ;7,599,795;2,659,928.25;99,468;34,813.80;16,909.56;173,206;60,622.10;41,569.44;1,740;609;417.6;7,874,209;2,755,973.15;2,718,824.85
MAYO;11,572,739;4,454,033.05;153,605;58,942.15;26,112.85;266,640;100,345.95;63,993.60;3,397;1,302.50;815.28;11,996,381;4,614,623.65;4,544,954.78
JUNIO;11,894,560;4,738,715.00;124,541;49,341.70;21,171.97;322,853;126,562.45;77,484.72;5,641;2,275.55;1,353.84;12,347,595;4,916,894.70;4,838,725.53
INGRESO TOTAL;31,067,094;B/.11,852,676.30;377,614;B/.143,097.65;B/.64,194.38;762,699;B/.287,530.50;B/.183,047.76;10,778;B/.4,187.05;B/.2,586.72;32,218,185;12,287,491.50;12,102,505.16
;;;;;;;;;;;;;;
METRO DE PANAMA;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;
TERCER TRIMESTRE 2019;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;;Ingreso Jubilados - Pensionados - 3ra Edad;;;Ingreso Discapacitados;;;Totales de Ingresos;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento
JULIO ;11,720,046;4,653,086.10;196,797;78,225.15;33,455.49;365,363;143,479.90;87,687.12;6,484;2,619.95;1,556.16;12,288,690;4,877,411.10;4,775,784.87
AGOSTO ;12,087,558;4,802,035.65;187,802;74,997.70;31,926.34;398,877;157,244.85;95,730.48;7,009;2,833.40;1,682.16;12,681,246;5,037,111.60;4,931,374.63
SEPTIEMBRE;11,266,799;4,477,322.95;142,533;56,906.10;24,230.61;384,541;151,950.95;92,289.84;7,063;2,843.45;1,695.12;11,800,936;4,689,023.45;4,595,538.52
INGRESO TOTAL;35,074,403;B/.13,932,444.70;527,132;B/.210,128.95;B/.89,612.44;1,148,781;B/.452,675.70;B/.275,707.44;20,556;B/.8,296.80;B/.4,933.44;36,770,872;14,603,546.15;14,302,698.02
;;;;;;;;;;;;;;
METRO DE PANAMA;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;
CUARTO  TRIMESTRE 2019;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;;Ingreso Jubilados - Pensionados - 3ra Edad;;;Ingreso Discapacitados;;;Totales de Ingresos;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento
OCTUBRE ;12,287,431;4,883,354.60;208,260;83,231.10;35,404.20;433,051;171,222.05;103,932.24;8,240;3,326.20;1,977.60;12,936,982;5,141,133.95;5,024,668.64
NOVIEMBRE;10,830,658;4,318,254.35;133,138;53,389.55;22,633.46;385,822;152,811.65;92,597.28;7,770;3,126.00;1,864.80;11,357,388;4,527,581.55;4,435,349.89
DICIEMBRE;12,024,151;4,805,766.20;55,028;22,268.05;9,354.76;438,311;173,627.35;105,194.64;8,008;3,225.95;1,921.92;12,525,498;5,004,887.55;4,922,237.52
INGRESO TOTAL;35,142,240;B/.14,007,375.15;396,426;B/.158,888.70;B/.67,392.42;1,257,184;B/.497,661.05;B/.301,724.16;24,018;B/.9,678.15;B/.5,764.32;36,819,868;14,673,603.05;14,382,256.05
