METRO DE PANAMµ;;;;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;;;;
PRIMER TRIMESTRE 2021;;;;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;;Ingreso Jubilados - Pensionados - 3ø Edad;;;Ingreso Discapacitados;;;Totales de Ingresos;;;Ingreso Tarifas Especiales;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento;Pasajeros;Monto Real;Monto con Descuento
ENERO;2,921,245;1,153,028.00;0;0.00;0.00;90,388;35,111.95;21,693.12;2,646;1,058.45;635.04;3,014,279;1,189,198.40;1,175,356.16;868;335.70;208.32
FEBRERO;4,721,133;1,858,280.90;0;0.00;0.00;92,746;35,727.80;22,259.04;4,877;1,946.90;1,170.48;4,818,756;1,895,955.60;1,881,710.42;911;353.20;218.64
MARZO;6,897,597;2,717,858.90;0;0.00;0.00;117,491;45,403.25;28,197.84;10,058;4,069.60;2,413.92;7,025,146;2,767,331.75;2,748,470.66;1,132;443.85;271.68
INGRESO TOTAL;14,539,975;B/. 5,729,167.80 ;0;B/. 0.00 ;B/. 0.00 ;300,625;B/. 116,243.00 ;B/. 72,150.00 ;17,581;B/. 7,074.95 ;B/. 4,219.44 ;14,858,181;5,852,485.75;5,805,537.24;2,911;B/. 1,132.75 ;B/. 698.64 
;;;;;;;;;;;;;;;;;
METRO DE PANAMµ;;;;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;;;;
SEGUNDO TRIMESTRE  2019;;;;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;Ingreso Jubilados - Pensionados - 3ø Edad;;Ingreso Discapacitados;;Totales de Ingresos;;;;;;;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;;;;;;
ABRIL;7,599,795;2,659,928.25;99,468;34,813.80;173,206;60,622.10;1,740;609.00;7,874,209;2,755,973.15;2,718,824.85;;;;;;
MAYO;11,572,739;4,371,132.40;153,605;34,560.93;266,640;76,086.05;3,397;964.57;11,996,381;4,549,352.85;4,482,743.95;;;;;;
JUNIO;11,894,560;4,738,715.00;124,541;49,341.70;322,853;126,562.45;5,641;2,275.55;12,347,595;4,916,894.70;4,735,213.69;;;;;;
INGRESO TOTAL;31,067,094;B/. 11,769,775.65 ;377,614;B/. 118,716.43 ;762,699;B/. 263,270.60 ;10,778;B/. 3,849.12 ;32,218,185;12,155,611.80;11,936,782.49;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
METRO DE PANAMµ;;;;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;;;;
TERCER TRIMESTRE 2019 JULIO;;;;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;Ingreso Jubilados - Pensionados - 3ø Edad;;Ingreso Discapacitados;;Totales de Ingresos;;;;;;;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;;;;;;
JULIO;11,720,046;4,653,086.10;196,797;78,225.15;365,363;143,479.90;6,484;2,619.95;12,288,690;4,877,411.10;4,683,039.97;;;;;;
AGOSTO ;12,087,558;4,802,035.65;187,802;74,997.70;398,877;157,244.85;7,009;2,833.40;12,681,246;5,037,111.60;4,837,042.68;;;;;;
SEPTIEMBRE;11,266,799;4,477,322.95;142,533;56,906.10;384,541;151,950.95;7,063;2,843.45;11,800,936;4,689,023.45;4,504,387.46;;;;;;
INGRESO TOTAL;35,074,403;13,932,444.70;527,132;210,128.95;1,148,781;452,675.70;20,556;8,296.80;36,770,872;14,603,546.15;14,024,470.11;;;;;;
;;;;;;;;;;;;;;;;;
METRO DE PANAMµ;;;;;;;;;;;;;;;;;
RESUMEN DE INGRESOS TARIFARIOS;;;;;;;;;;;;;;;;;
CUARTO TRIMESTRE 2019 JULIO;;;;;;;;;;;;;;;;;
MES;Ingreso Monedero;;Ingreso Estudiantes;;Ingreso Jubilados - Pensionados - 3ø Edad;;Ingreso Discapacitados;;Totales de Ingresos;;;;;;;;
;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Pasajeros;Monto Real;Monto con Descuento;;;;;;
OCTUBRE;12,287,431;4,883,354.60;208,260;83,231.10;433,051;171,222.05;8,240;3,326.20;12,936,982;5,141,133.95;4,930,739.93;;;;;;
NOVIEMBRE;10,830,658;4,318,254.35;133,138;53,389.55;385,822;152,811.65;7,770;3,126.00;11,357,388;4,527,581.55;4,353,627.32;;;;;;
DICIEMBRE;12,024,151;4,805,766.20;55,028;22,268.05;438,311;173,627.35;8,008;3,225.95;12,525,498;5,004,887.55;4,836,162.83;;;;;;
INGRESO TOTAL;35,142,240;14,007,375.15;396,426;158,888.70;1,257,184;497,661.05;24,018;9,678.15;36,819,868;14,673,603.05;14,120,530.08;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
